Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Year,Month,Month_Name,Quarter,Week,Total_Interactions,Virality_Score,Save_Rate,View_to_Engagement,Performance_Tier,Content_Score,Time_Bucket
POST_01803,2024-01-03 00:42:00,Twitter,Poll,Sports,4926,205,1317,28491,466,148659,4.34,0,Wednesday,7,1597,Neutral,Macro,True,False,2024,1,January,1,1,6914,6.2471,1.6356,24.2673,Good,4.1008,Late Night
POST_03737,2024-01-03 03:35:00,LinkedIn,Poll,Lifestyle,1383,123,32,6603,59,190618,0.81,3,Wednesday,13,1506,Neutral,Macro,False,False,2024,1,January,1,1,1597,0.9049,0.8935,24.186,Low,0.8635,Late Night
POST_03162,2024-01-03 04:16:00,Instagram,Reel,Education,8387,360,179,13360,945,499770,1.79,4,Wednesday,20,172,Neutral,Macro,True,False,2024,1,January,1,1,9871,1.9297,7.0734,73.8847,Average,3.4169,Late Night
POST_00426,2024-01-03 09:46:00,Facebook,Video,Sports,5540,375,632,73879,402,487579,1.34,9,Wednesday,15,353,Neutral,Macro,True,False,2024,1,January,1,1,6949,1.6789,0.5441,9.4059,Average,1.2029,Morning
POST_00363,2024-01-03 13:28:00,Facebook,Post,Technology,1048,256,457,75334,393,29036,6.06,13,Wednesday,29,1717,Negative,Micro,True,False,2024,1,January,1,1,2154,10.094,0.5217,2.8593,Viral,5.6087,Afternoon
POST_01038,2024-01-04 00:19:00,LinkedIn,Post,Technology,1708,113,456,26761,259,402762,0.57,0,Thursday,19,764,Positive,Macro,True,True,2024,1,January,1,1,2536,0.8198,0.9678,9.4765,Low,0.7643,Late Night
POST_04592,2024-01-04 05:36:00,Instagram,Story,Technology,6145,224,238,45738,517,245871,2.69,5,Thursday,15,1954,Positive,Macro,True,False,2024,1,January,1,1,7124,2.9719,1.1304,15.5757,Average,2.3067,Late Night
POST_00159,2024-01-04 10:49:00,Instagram,Story,Fitness,4399,125,33,21640,787,430456,1.06,10,Thursday,26,1064,Neutral,Macro,True,False,2024,1,January,1,1,5344,1.103,3.6368,24.695,Average,1.8459,Morning
POST_02919,2024-01-04 12:44:00,Twitter,Thread,Fitness,2837,260,1505,47775,332,120825,3.81,12,Thursday,21,880,Neutral,Macro,True,True,2024,1,January,1,1,4934,6.5152,0.6949,10.3276,Good,3.687,Morning
POST_02915,2024-01-04 16:45:00,Instagram,Reel,Food,1974,308,125,21531,662,202126,1.19,16,Thursday,20,175,Positive,Macro,True,False,2024,1,January,1,1,3069,1.4669,3.0746,14.2539,Average,1.8384,Afternoon
POST_04272,2024-01-04 20:52:00,YouTube,Live,Travel,19612,881,609,22497,3392,364855,5.78,20,Thursday,15,185,Positive,Macro,True,False,2024,1,January,1,1,24494,6.3589,15.0776,108.8767,Good,8.743,Evening
POST_02704,2024-01-05 09:59:00,Instagram,Reel,Food,6327,440,130,935,289,140434,4.91,9,Friday,8,588,Neutral,Macro,True,True,2024,1,January,1,1,7186,5.4096,30.9091,768.5561,Good,12.8596,Morning
POST_02032,2024-01-05 10:15:00,Facebook,Story,Lifestyle,2672,360,464,2203,659,3383,103.34,10,Friday,17,484,Neutral,Nano,True,False,2024,1,January,1,1,4155,141.3712,29.9138,188.6064,Viral,92.7215,Morning
POST_01750,2024-01-05 14:17:00,Instagram,Carousel,Fitness,1687,73,134,41648,732,117460,1.61,14,Friday,11,1798,Positive,Macro,True,False,2024,1,January,1,1,2626,1.9028,1.7576,6.3052,Average,1.7421,Afternoon
POST_03565,2024-01-06 12:07:00,Facebook,Live,Business,1784,227,117,77227,192,414100,0.51,12,Saturday,27,524,Neutral,Macro,True,True,2024,1,January,1,1,2320,0.6252,0.2486,3.0041,Low,0.4661,Morning
POST_04392,2024-01-06 17:28:00,Facebook,Post,Lifestyle,6896,135,201,65197,354,373777,1.93,17,Saturday,22,1979,Positive,Macro,False,True,2024,1,January,1,1,7586,2.0785,0.543,11.6355,Average,1.5585,Afternoon
POST_02615,2024-01-06 19:56:00,Twitter,Tweet,Fashion,156,131,1223,75745,121,499327,0.3,19,Saturday,13,622,Neutral,Macro,True,False,2024,1,January,1,1,1631,0.8185,0.1597,2.1533,Low,0.4135,Evening
POST_04168,2024-01-07 02:55:00,Instagram,Reel,Lifestyle,8448,490,202,29382,993,331405,2.76,2,Sunday,7,53,Positive,Macro,True,True,2024,1,January,1,1,10133,3.0277,3.3796,34.4871,Average,3.0262,Late Night
POST_02667,2024-01-07 03:43:00,Instagram,Story,Fashion,1242,270,186,833,524,476563,0.36,3,Sunday,12,565,Positive,Macro,True,False,2024,1,January,1,1,2222,0.491,62.9052,266.7467,Low,19.1629,Late Night
POST_00600,2024-01-07 05:55:00,Instagram,Story,Fashion,5138,49,140,47958,245,364057,1.46,5,Sunday,2,915,Positive,Macro,True,False,2024,1,January,1,1,5572,1.5536,0.5109,11.6185,Average,1.2034,Late Night
POST_03649,2024-01-07 07:53:00,Facebook,Story,Travel,4532,332,707,24121,391,479509,1.16,7,Sunday,8,1244,Negative,Macro,True,False,2024,1,January,1,1,5962,1.5259,1.621,24.7171,Average,1.4081,Morning
POST_02620,2024-01-07 07:56:00,Twitter,Retweet,Fitness,4492,244,997,24696,383,135479,4.23,7,Sunday,1,311,Negative,Macro,True,True,2024,1,January,1,1,6116,5.8835,1.5509,24.7651,Good,3.9223,Morning
POST_03937,2024-01-07 11:00:00,Twitter,Retweet,Fashion,3186,177,1551,27503,16,47435,10.36,11,Sunday,23,818,Neutral,Micro,True,False,2024,1,January,1,1,4930,17.2717,0.0582,17.9253,Viral,9.343,Morning
POST_00255,2024-01-07 11:19:00,Instagram,Carousel,Health,9902,174,48,760,226,373732,2.71,11,Sunday,21,188,Negative,Macro,True,True,2024,1,January,1,1,10350,2.7811,29.7368,1361.8421,Average,10.8394,Morning
POST_01458,2024-01-07 13:01:00,LinkedIn,Article,Gaming,615,72,309,18554,208,309232,0.32,13,Sunday,10,905,Neutral,Macro,True,False,2024,1,January,1,1,1204,0.5452,1.1211,6.4892,Low,0.6279,Afternoon
POST_01115,2024-01-07 13:08:00,Facebook,Live,Health,6283,165,569,49857,522,352767,1.99,13,Sunday,10,523,Positive,Macro,True,True,2024,1,January,1,1,7539,2.3585,1.047,15.1212,Average,1.8176,Afternoon
POST_04061,2024-01-08 04:28:00,Twitter,Tweet,Lifestyle,280,240,940,50483,119,484615,0.3,4,Monday,6,1692,Positive,Macro,True,False,2024,1,January,1,2,1579,0.7387,0.2357,3.1278,Low,0.4123,Late Night
POST_02972,2024-01-08 05:59:00,Instagram,Reel,Travel,545,440,95,46180,238,371362,0.29,5,Monday,6,561,Positive,Macro,True,True,2024,1,January,1,2,1318,0.4605,0.5154,2.854,Low,0.4088,Late Night
POST_00620,2024-01-08 06:19:00,LinkedIn,Article,Lifestyle,1635,90,194,14227,248,309567,0.62,6,Monday,24,863,Neutral,Macro,True,False,2024,1,January,1,2,2167,0.7743,1.7432,15.2316,Low,1.0032,Late Night
POST_02131,2024-01-08 18:33:00,Instagram,Carousel,Health,6342,62,163,23890,486,44931,14.62,18,Monday,20,537,Positive,Micro,True,False,2024,1,January,1,2,7053,15.4789,2.0343,29.5228,Viral,11.102,Evening
POST_01977,2024-01-08 20:04:00,Twitter,Poll,Fashion,145,183,223,1947,282,119901,0.46,20,Monday,8,180,Positive,Macro,True,False,2024,1,January,1,2,833,0.9841,14.4838,42.7838,Low,4.8244,Evening
POST_04253,2024-01-08 21:37:00,Twitter,Poll,Health,4073,129,1122,96934,425,26858,19.82,21,Monday,26,1660,Negative,Micro,True,True,2024,1,January,1,2,5749,28.6571,0.4384,5.9308,Viral,16.6566,Night
POST_02226,2024-01-09 00:43:00,Facebook,Live,Entertainment,3270,132,535,10351,754,321725,1.22,0,Tuesday,24,358,Negative,Macro,True,True,2024,1,January,1,2,4691,1.5973,7.2843,45.3193,Average,3.1525,Late Night
POST_03590,2024-01-09 03:40:00,Instagram,Carousel,Food,7684,20,151,3713,125,47275,16.62,3,Tuesday,28,726,Negative,Micro,True,False,2024,1,January,1,2,7980,17.2963,3.3665,214.9205,Viral,12.8468,Late Night
POST_01451,2024-01-09 11:12:00,Facebook,Story,Entertainment,5232,366,371,10075,558,257653,2.32,11,Tuesday,11,1512,Positive,Macro,True,False,2024,1,January,1,2,6527,2.7467,5.5385,64.7841,Average,3.4136,Morning
POST_04753,2024-01-09 11:48:00,LinkedIn,Post,Health,472,94,425,18259,112,277798,0.36,11,Tuesday,18,755,Positive,Macro,True,False,2024,1,January,1,2,1103,0.6965,0.6134,6.0409,Low,0.537,Morning
POST_03402,2024-01-09 12:59:00,Instagram,Story,Technology,8440,165,264,37752,483,477456,1.86,12,Tuesday,3,965,Negative,Macro,True,False,2024,1,January,1,2,9352,2.0027,1.2794,24.7722,Average,1.7286,Morning
POST_03917,2024-01-09 16:37:00,LinkedIn,Poll,Health,794,7,127,14918,32,74896,1.24,16,Tuesday,20,1079,Neutral,Mid-tier,False,True,2024,1,January,1,2,960,1.5875,0.2145,6.4352,Average,1.0366,Afternoon
POST_00483,2024-01-09 18:55:00,Facebook,Video,Sports,4283,106,38,73605,646,497216,0.89,18,Tuesday,5,291,Positive,Macro,True,True,2024,1,January,1,2,5073,0.927,0.8777,6.8922,Low,0.8974,Evening
POST_00147,2024-01-09 21:52:00,Facebook,Video,Gaming,3309,303,203,21871,590,93599,4.08,21,Tuesday,8,347,Negative,Mid-tier,True,True,2024,1,January,1,2,4405,4.8333,2.6976,20.1408,Good,3.8913,Night
POST_01364,2024-01-09 22:21:00,Facebook,Live,Business,6830,129,742,57034,78,235288,3.27,22,Tuesday,16,42,Neutral,Macro,True,False,2024,1,January,1,2,7779,3.9585,0.1368,13.6392,Good,2.5366,Night
POST_02243,2024-01-10 05:26:00,Facebook,Live,Sports,478,266,811,76686,562,382495,0.41,5,Wednesday,22,490,Positive,Macro,True,False,2024,1,January,1,2,2117,0.9001,0.7329,2.7606,Low,0.6539,Late Night
POST_01461,2024-01-10 10:00:00,Twitter,Thread,Fitness,4449,21,209,57922,448,351032,1.33,10,Wednesday,29,303,Neutral,Macro,True,False,2024,1,January,1,2,5127,1.458,0.7735,8.8516,Average,1.2014,Morning
POST_00471,2024-01-10 14:57:00,Instagram,Photo,Technology,9883,67,77,43316,382,404723,2.48,14,Wednesday,15,695,Negative,Macro,False,False,2024,1,January,1,2,10409,2.5321,0.8819,24.0304,Average,2.0162,Afternoon
POST_04025,2024-01-10 15:51:00,LinkedIn,Poll,Lifestyle,1895,17,158,15208,205,406984,0.51,15,Wednesday,7,866,Neutral,Macro,False,True,2024,1,January,1,2,2275,0.5904,1.348,14.9592,Low,0.7855,Afternoon
POST_04594,2024-01-10 16:29:00,Twitter,Thread,Education,400,4,1034,45335,106,245639,0.59,16,Wednesday,15,228,Neutral,Macro,True,False,2024,1,January,1,2,1544,1.4289,0.2338,3.4058,Low,0.7348,Afternoon
POST_04447,2024-01-10 21:32:00,Instagram,Photo,Food,5088,262,199,14888,660,435000,1.28,21,Wednesday,9,1786,Neutral,Macro,False,False,2024,1,January,1,2,6209,1.4274,4.4331,41.7047,Average,2.2702,Night
POST_02303,2024-01-11 00:33:00,Facebook,Live,Sports,3204,107,380,57955,489,261013,1.41,0,Thursday,13,573,Positive,Macro,True,False,2024,1,January,1,2,4180,1.7463,0.8438,7.2125,Average,1.341,Late Night
POST_04612,2024-01-11 11:14:00,Instagram,Story,Health,2366,255,107,32084,535,892,305.83,11,Thursday,21,1100,Neutral,Nano,True,True,2024,1,January,1,2,3263,358.0067,1.6675,10.1702,Viral,230.2343,Morning
POST_02056,2024-01-11 21:15:00,LinkedIn,Article,Sports,170,19,259,25386,143,333768,0.13,21,Thursday,13,931,Neutral,Macro,True,True,2024,1,January,1,2,591,0.2951,0.5633,2.3281,Low,0.3095,Night
POST_03661,2024-01-11 22:51:00,Facebook,Post,Food,6580,9,900,31319,646,30230,24.77,22,Thursday,24,1861,Neutral,Micro,True,False,2024,1,January,1,2,8135,30.7565,2.0626,25.9746,Viral,19.7537,Night
POST_04724,2024-01-12 12:53:00,Twitter,Poll,Health,2640,172,1471,29943,329,466337,0.92,12,Friday,16,1184,Neutral,Macro,False,False,2024,1,January,1,2,4612,1.5862,1.0988,15.4026,Low,1.1735,Morning
POST_02458,2024-01-12 20:49:00,Facebook,Post,Gaming,6543,54,632,43676,465,374670,1.93,20,Friday,24,789,Positive,Macro,True,False,2024,1,January,1,2,7694,2.2812,1.0647,17.6161,Average,1.7758,Evening
POST_04902,2024-01-12 20:49:00,Facebook,Live,Business,504,234,46,44411,268,182875,0.43,20,Friday,5,326,Positive,Macro,True,False,2024,1,January,1,2,1052,0.607,0.6035,2.3688,Low,0.5352,Evening
POST_01847,2024-01-12 20:59:00,Instagram,Carousel,Food,4453,438,291,663,248,148198,3.5,20,Friday,27,1250,Neutral,Macro,True,False,2024,1,January,1,2,5430,4.1849,37.4057,819.0045,Good,13.8772,Evening
POST_04101,2024-01-12 21:17:00,Facebook,Post,Sports,6260,5,169,6216,458,21174,30.39,21,Friday,4,1236,Positive,Micro,True,False,2024,1,January,1,2,6892,32.0047,7.3681,110.8752,Viral,23.9678,Night
POST_00057,2024-01-12 21:46:00,Instagram,Photo,Gaming,5741,410,126,10052,350,259233,2.42,21,Friday,1,1804,Positive,Macro,True,True,2024,1,January,1,2,6627,2.6767,3.4819,65.9272,Average,2.8156,Night
POST_01437,2024-01-13 07:02:00,Twitter,Thread,Health,2813,177,396,67504,147,475435,0.71,7,Saturday,16,554,Positive,Macro,True,False,2024,1,January,1,2,3533,0.916,0.2178,5.2338,Low,0.6241,Morning
POST_00343,2024-01-13 18:18:00,Instagram,Reel,Fitness,1899,280,211,45999,436,351424,0.68,18,Saturday,7,205,Neutral,Macro,True,False,2024,1,January,1,2,2826,0.8798,0.9478,6.1436,Low,0.8203,Evening
POST_04713,2024-01-13 18:53:00,Twitter,Tweet,Fashion,1910,32,362,17951,484,195649,1.18,18,Saturday,24,1569,Neutral,Macro,True,False,2024,1,January,1,2,2788,1.564,2.6962,15.5312,Average,1.7501,Evening
POST_04642,2024-01-14 00:50:00,Twitter,Thread,Travel,2576,103,975,63465,221,316317,1.16,0,Sunday,4,1229,Positive,Macro,True,False,2024,1,January,1,2,3875,1.8042,0.3482,6.1057,Average,1.1097,Late Night
POST_03566,2024-01-14 05:41:00,LinkedIn,Poll,Sports,1545,120,12,2194,209,70581,2.38,5,Sunday,1,550,Positive,Mid-tier,True,False,2024,1,January,1,2,1886,2.58,9.526,85.9617,Average,4.5838,Late Night
POST_04522,2024-01-14 21:15:00,Facebook,Live,Business,1062,134,81,28161,138,328440,0.39,21,Sunday,29,311,Positive,Macro,True,True,2024,1,January,1,2,1415,0.4789,0.49,5.0247,Low,0.4467,Night
POST_04115,2024-01-15 10:52:00,Facebook,Post,Sports,4674,114,267,12139,303,122533,4.13,10,Monday,7,1408,Positive,Macro,True,True,2024,1,January,1,3,5358,4.6542,2.4961,44.1387,Good,3.7971,Morning
POST_00338,2024-01-15 22:34:00,LinkedIn,Article,Fashion,1574,48,478,23296,7,40387,5.2,22,Monday,1,1264,Neutral,Micro,False,False,2024,1,January,1,3,2107,7.6855,0.03,9.0445,Good,4.3947,Night
POST_00110,2024-01-16 02:59:00,Instagram,Story,Education,150,43,291,2900,309,235868,0.21,2,Tuesday,25,1100,Positive,Macro,True,False,2024,1,January,1,3,793,0.4702,10.6552,27.3448,Low,3.4216,Late Night
POST_01086,2024-01-16 06:59:00,Facebook,Video,Technology,286,219,454,69548,168,128453,0.75,6,Tuesday,5,252,Neutral,Macro,True,False,2024,1,January,1,3,1127,1.6239,0.2416,1.6205,Low,0.8596,Late Night
POST_02563,2024-01-16 08:26:00,Instagram,Photo,Technology,9875,148,105,34673,464,240935,4.2,8,Tuesday,20,170,Positive,Macro,True,False,2024,1,January,1,3,10592,4.3522,1.3382,30.5483,Good,3.3871,Morning
POST_02331,2024-01-16 15:13:00,Twitter,Retweet,Technology,2508,106,230,19802,32,60754,4.68,15,Tuesday,0,702,Negative,Mid-tier,True,True,2024,1,January,1,3,2876,5.6127,0.1616,14.5238,Good,3.6043,Afternoon
POST_02175,2024-01-16 23:45:00,Instagram,Story,Education,1379,34,296,4199,917,209384,0.82,23,Tuesday,9,231,Positive,Macro,True,False,2024,1,January,1,3,2626,1.1152,21.8385,62.5387,Low,7.2141,Night
POST_02110,2024-01-17 06:33:00,YouTube,Video,Gaming,4368,808,275,190721,807,8798,61.96,6,Wednesday,6,504,Positive,Nano,False,False,2024,1,January,1,3,6258,77.3838,0.4231,3.2812,Viral,48.1261,Late Night
POST_01046,2024-01-17 07:13:00,Facebook,Video,Education,647,131,266,5057,494,211133,0.49,7,Wednesday,26,492,Neutral,Macro,False,True,2024,1,January,1,3,1538,0.8085,9.7686,30.4133,Low,3.3691,Morning
POST_01100,2024-01-17 08:35:00,Twitter,Poll,Sports,3399,215,947,53196,380,498316,0.92,8,Wednesday,7,1306,Positive,Macro,True,True,2024,1,January,1,3,4941,1.3385,0.7143,9.2883,Low,0.9838,Morning
POST_00758,2024-01-17 11:50:00,Facebook,Live,Lifestyle,7091,159,835,35164,583,64065,12.62,11,Wednesday,11,595,Neutral,Mid-tier,False,False,2024,1,January,1,3,8668,15.4747,1.6579,24.6502,Viral,10.1878,Morning
POST_04114,2024-01-17 13:01:00,Instagram,Reel,Health,412,142,210,40620,74,371799,0.21,13,Wednesday,21,99,Positive,Macro,True,True,2024,1,January,1,3,838,0.3566,0.1822,2.063,Low,0.2456,Afternoon
POST_04614,2024-01-17 17:42:00,Instagram,Photo,Technology,3668,263,261,3706,470,313065,1.34,17,Wednesday,10,211,Neutral,Macro,True,False,2024,1,January,1,3,4662,1.5898,12.6821,125.796,Average,4.8176,Afternoon
POST_04867,2024-01-17 19:59:00,Twitter,Poll,Fitness,26,207,1207,94651,187,216637,0.66,19,Wednesday,19,183,Positive,Macro,False,False,2024,1,January,1,3,1627,1.8746,0.1976,1.7189,Low,0.8857,Evening
POST_03820,2024-01-17 22:08:00,Facebook,Video,Business,5171,250,163,70298,748,230965,2.42,22,Wednesday,6,177,Negative,Macro,True,False,2024,1,January,1,3,6332,2.6671,1.064,9.0074,Average,2.0873,Night
POST_03576,2024-01-17 22:12:00,Twitter,Retweet,Fitness,3940,142,1944,37624,55,94953,6.35,22,Wednesday,7,1786,Neutral,Mid-tier,True,True,2024,1,January,1,3,6081,10.5904,0.1462,16.1626,Viral,5.761,Night
POST_00910,2024-01-18 11:21:00,Twitter,Poll,Fashion,1613,51,1235,89627,346,417600,0.69,11,Thursday,24,1358,Negative,Macro,True,False,2024,1,January,1,3,3245,1.2979,0.386,3.6206,Low,0.7812,Morning
POST_01126,2024-01-18 16:52:00,Facebook,Post,Fashion,3046,9,192,60195,750,331736,0.98,16,Thursday,26,1143,Positive,Macro,True,False,2024,1,January,1,3,3997,1.0973,1.246,6.6401,Low,1.095,Afternoon
POST_03285,2024-01-19 01:27:00,Facebook,Post,Food,3401,57,340,76452,437,191616,1.98,1,Friday,23,1621,Positive,Macro,True,False,2024,1,January,1,3,4235,2.3667,0.5716,5.5394,Average,1.6735,Late Night
POST_04097,2024-01-19 19:06:00,Instagram,Photo,Gaming,5564,46,94,22263,290,389329,1.47,19,Friday,25,1257,Neutral,Macro,True,False,2024,1,January,1,3,5994,1.5252,1.3026,26.9236,Average,1.4363,Evening
POST_04987,2024-01-19 20:50:00,LinkedIn,Poll,Entertainment,1615,83,358,1184,201,419135,0.49,20,Friday,7,1133,Neutral,Macro,True,False,2024,1,January,1,3,2257,0.6812,16.9764,190.625,Low,5.4933,Evening
POST_01760,2024-01-19 21:00:00,Facebook,Video,Sports,7957,303,613,33600,654,333889,2.66,21,Friday,21,408,Positive,Macro,True,False,2024,1,January,1,3,9527,3.1154,1.9464,28.3542,Average,2.5825,Night
POST_03762,2024-01-20 03:42:00,LinkedIn,Post,Business,1964,112,118,26278,250,344068,0.64,3,Saturday,14,1150,Negative,Macro,True,False,2024,1,January,1,3,2444,0.7388,0.9514,9.3006,Low,0.7631,Late Night
POST_03791,2024-01-20 08:35:00,Instagram,Carousel,Technology,1169,171,63,49825,262,51542,2.72,8,Saturday,24,1665,Positive,Mid-tier,True,False,2024,1,January,1,3,1665,3.2982,0.5258,3.3417,Average,2.2352,Morning
POST_01523,2024-01-20 12:50:00,Twitter,Retweet,Fitness,4251,281,83,43738,197,105394,4.38,12,Saturday,4,520,Neutral,Macro,True,False,2024,1,January,1,3,4812,4.8029,0.4504,11.0019,Good,3.328,Morning
POST_02948,2024-01-20 15:58:00,Facebook,Video,Sports,4917,86,380,16484,458,177685,3.03,15,Saturday,9,282,Neutral,Macro,True,False,2024,1,January,1,3,5841,3.5056,2.7785,35.4344,Good,3.0972,Afternoon
POST_03344,2024-01-20 20:45:00,Instagram,Reel,Entertainment,1417,62,92,32890,871,487213,0.32,20,Saturday,16,53,Positive,Macro,True,False,2024,1,January,1,3,2442,0.3729,2.6482,7.4247,Low,1.0343,Evening
POST_02098,2024-01-20 23:46:00,Facebook,Story,Travel,4929,226,92,71992,436,117699,4.46,23,Saturday,27,415,Positive,Macro,True,False,2024,1,January,1,3,5683,4.8063,0.6056,7.8939,Good,3.4076,Night
POST_01783,2024-01-21 01:44:00,Facebook,Post,Sports,7406,273,937,20661,728,220994,3.9,1,Sunday,2,833,Neutral,Macro,True,False,2024,1,January,1,3,9344,4.8702,3.5235,45.2253,Good,4.0781,Late Night
POST_03371,2024-01-21 01:55:00,Instagram,Photo,Travel,1488,333,46,21794,342,383497,0.49,1,Sunday,5,314,Positive,Macro,True,False,2024,1,January,1,3,2209,0.5977,1.5692,10.1358,Low,0.8461,Late Night
POST_00755,2024-01-21 12:55:00,Instagram,Story,Travel,5701,337,47,4501,73,319398,1.91,12,Sunday,6,429,Positive,Macro,True,False,2024,1,January,1,3,6158,2.0401,1.6219,136.814,Average,1.8626,Morning
POST_00278,2024-01-21 19:09:00,Facebook,Story,Lifestyle,7105,184,663,57034,787,388195,2.05,19,Sunday,15,379,Positive,Macro,True,True,2024,1,January,1,3,8739,2.4374,1.3799,15.3224,Average,1.9652,Evening
POST_03317,2024-01-21 22:30:00,Facebook,Video,Education,3160,17,801,64490,756,197420,2.01,22,Sunday,20,489,Positive,Macro,True,False,2024,1,January,1,3,4734,2.8351,1.1723,7.3407,Average,2.0062,Night
POST_03432,2024-01-22 00:59:00,YouTube,Video,Gaming,1601,167,967,69858,314,94188,2.9,0,Monday,22,315,Negative,Mid-tier,True,False,2024,1,January,1,4,3049,5.1344,0.4495,4.3646,Average,2.8352,Late Night
POST_03605,2024-01-22 05:18:00,Instagram,Reel,Technology,5014,121,200,34570,591,338316,1.58,5,Monday,6,396,Positive,Macro,True,True,2024,1,January,1,4,5926,1.7309,1.7096,17.142,Average,1.6642,Late Night
POST_00634,2024-01-22 10:10:00,Facebook,Post,Health,4000,301,563,17282,533,223263,2.18,10,Monday,14,1175,Positive,Macro,False,False,2024,1,January,1,4,5397,2.8177,3.0841,31.229,Average,2.6425,Morning
POST_04147,2024-01-22 19:48:00,Instagram,Carousel,Technology,3582,261,269,32102,371,67550,6.09,19,Monday,13,1344,Neutral,Mid-tier,True,True,2024,1,January,1,4,4483,7.2701,1.1557,13.9649,Viral,4.9637,Evening
POST_02369,2024-01-22 22:24:00,Twitter,Tweet,Education,4511,242,36,26120,204,412694,1.16,22,Monday,27,1131,Positive,Macro,True,True,2024,1,January,1,4,4993,1.2365,0.781,19.1156,Average,1.0692,Night
POST_01552,2024-01-23 04:37:00,Facebook,Story,Entertainment,3406,66,294,43825,71,469285,0.8,4,Tuesday,9,874,Neutral,Macro,True,False,2024,1,January,1,4,3837,0.9419,0.162,8.7553,Low,0.6512,Late Night
POST_02276,2024-01-24 04:46:00,Facebook,Story,Health,2646,146,360,15128,399,239280,1.32,4,Wednesday,19,1801,Neutral,Macro,True,False,2024,1,January,1,4,3551,1.6792,2.6375,23.473,Average,1.823,Late Night
POST_03084,2024-01-24 09:26:00,Facebook,Live,Gaming,3969,175,183,5188,382,367915,1.18,9,Wednesday,10,337,Neutral,Macro,True,True,2024,1,January,1,4,4709,1.3231,7.3631,90.7672,Average,3.0779,Morning
POST_03769,2024-01-24 10:27:00,Instagram,Carousel,Entertainment,980,463,10,46112,430,164423,0.88,10,Wednesday,20,549,Positive,Macro,True,False,2024,1,January,1,4,1883,1.1774,0.9325,4.0835,Low,0.985,Morning
POST_04375,2024-01-24 18:36:00,Facebook,Post,Sports,7706,42,138,7407,198,143074,5.51,18,Wednesday,27,1042,Positive,Macro,True,False,2024,1,January,1,4,8084,5.7341,2.6731,109.14,Good,4.7262,Evening
